Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude
BD1 2QY,BD1 2QY,SE 16028 33235,416028,433235,53.795181,-1.7581636
BD1 2QZ,BD1 2QZ,SE 16028 33235,416028,433235,53.795181,-1.7581636
BD1 2RA,postcode not found,,,,,
BD1 2RB,BD1 2RB,SE 15995 33342,415995,433342,53.796143,-1.7586591
BD1 2RD,BD1 2RD,SE 15914 33353,415914,433353,53.796245,-1.7598882
BD1 2RE,BD1 2RE,SE 15929 33342,415929,433342,53.796145,-1.759661
BD1 2RF,BD1 2RF,SE 15671 33382,415671,433382,53.796513,-1.7635757
BD1 2RG,postcode not found,,,,,
BD1 2RJ,postcode not found,,,,,
BD1 2RL,postcode not found,,,,,
BD1 2RN,BD1 2RN,SE 15841 33463,415841,433463,53.797236,-1.7609908
BD1 2RP,BD1 2RP,SE 15731 33310,415731,433310,53.795864,-1.7626685
BD1 2RR,postcode not found,,,,,
BD1 2RS,BD1 2RS,SE 15690 33340,415690,433340,53.796135,-1.7632894
BD1 2RT,BD1 2RT,SE 15565 33384,415565,433384,53.796534,-1.7651848
BD1 2RU,BD1 2RU,SE 15731 33469,415731,433469,53.797293,-1.7626604
BD1 2RW,BD1 2RW,SE 15797 33439,415797,433439,53.797021,-1.76166
BD1 2RX,BD1 2RX,SE 15655 33465,415655,433465,53.797259,-1.7638144
BD1 2RY,BD1 2RY,SE 15645 33482,415645,433482,53.797412,-1.7639653
BD1 2RZ,BD1 2RZ,SE 15671 33382,415671,433382,53.796513,-1.7635757
BD1 2SA,BD1 2SA,SE 16122 32990,416122,432990,53.792976,-1.7567494
BD1 2SD,BD1 2SD,SE 16154 33116,416154,433116,53.794107,-1.7562571
BD1 2SF,postcode not found,,,,,
BD1 2SG,postcode not found,,,,,
BD1 2SH,BD1 2SH,SE 16128 33127,416128,433127,53.794207,-1.7566512
BD1 2SL,postcode not found,,,,,
BD1 2SR,postcode not found,,,,,
BD1 2SS,BD1 2SS,SE 16155 33110,416155,433110,53.794053,-1.7562422
BD1 2ST,BD1 2ST,SE 16187 33013,416187,433013,53.793181,-1.7557615
BD1 2SU,BD1 2SU,SE 16122 32990,416122,432990,53.792976,-1.7567494
BD1 2SX,BD1 2SX,SE 15895 33174,415895,433174,53.794637,-1.7601858
BD1 2SY,postcode not found,,,,,
BD1 2SZ,postcode not found,,,,,
BD1 2TA,postcode not found,,,,,
BD1 2TB,postcode not found,,,,,
BD1 2TD,postcode not found,,,,,
BD1 2TH,BD1 2TH,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 2TJ,postcode not found,,,,,
BD1 2TL,postcode not found,,,,,
BD1 2TN,postcode not found,,,,,
BD1 2TP,BD1 2TP,SE 15961 33257,415961,433257,53.795381,-1.7591796
BD1 2TT,postcode not found,,,,,
BD1 2TW,postcode not found,,,,,
BD1 2TX,postcode not found,,,,,
BD1 2TY,postcode not found,,,,,
